date,ID,tank,sample_type,TA,water_mass,temp
20240604,26,2,26,2387.265686,59.7633,20
20240604,27,2,27,2439.669229,59.7828,20
20240604,67,2,67,2437.859685,60.4461,20
20240521,T12_Blank,12,Blank,2415.971377,59.9727,16
20240528,T18_Blank,18,Blank,2415.971377,59.9339,16
20240530,T8_Blank,8,Blank,2415.971377,60.4391,16
20240530,T15_Blank,15,Blank,2415.971377,60.4365,16
20240530,T7_Blank,7,Blank,2415.971377,60.1953,16
20240528,T1_Blank,1,Blank,2415.971377,59.9986,16
20240528,T13_Blank,13,Blank,2415.971377,60.0575,16
20240530,T5_Blank,5,Blank,2415.971377,59.983,16
20240530,T19_Blank,19,Blank,2415.971377,59.8792,16
20240530,T3_Blank,3,Blank,2426.743892,59.9579,20
20240601,T6_Blank,6,Blank,2426.743892,59.9863,20
20240601,T14_Blank,14,Blank,2426.743892,60.1158,20
20240601,T10_Blank,10,Blank,2426.743892,59.6971,20
20240530,T17_Blank,17,Blank,2426.743892,60.1468,20
20240530,T11_Blank,11,Blank,2426.743892,59.9023,20
20240601,T4_Blank,4,Blank,2426.743892,59.8403,20
20240601,T9_Blank,9,Blank,2426.743892,59.957,20
20240604,T2_Blank,2,Blank,2426.743892,60.3467,20
20240521,T12_initial_1,12,Initial,2407.867059,60.1468,16
20240521,T12_initial_2,12,Initial,2410.230791,60.3458,16
20240521,T12_initial_3,12,Initial,2406.237188,60.3058,16
20240528,T1_initial_1,1,Initial,2426.472046,60.0612,20
20240528,T1_initial_2,1,Initial,2429.370294,59.9219,20
20240528,T1_initial_3,1,Initial,2433.691838,60.3792,20
20240528,T13_initial_1,13,Initial,2431.612705,60.386,20
20240528,T13_initial_2,13,Initial,2430.732329,59.7577,20
20240528,T13_initial_3,13,Initial,2426.889986,59.857,20
20240528,T18_initial_1,18,Initial,2400.666268,59.9002,16
20240528,T18_initial_3,18,Initial,2436.667339,59.7573,16
20240530,T5_initial_1,5,Initial,2424.334731,60.26,20
20240530,T5_initial_2,5,Initial,2420.650305,60.0913,20
20240530,T19_initial_1,19,Initial,2425.959036,59.8408,20
20240530,T19_initial_2,19,Initial,2424.801482,60.2707,20
20240530,T19_initial_3,19,Initial,2425.499591,59.5763,20
20240530,T8_initial_1,8,Initial,2406.913095,60.2602,16
20240530,T8_initial_3,8,Initial,2407.175196,60.0543,16
20240530,T15_initial_1,15,Initial,2424.891859,59.6091,16
20240530,T15_initial_2,15,Initial,2422.540168,60.1171,16
20240530,T15_initial_3,15,Initial,2427.683409,60.0996,16
20240530,T7_initial_1,7,Initial,2413.543654,60.0257,16
20240530,T7_initial_2,7,Initial,2424.987746,60.1568,16
20240530,T7_initial_3,7,Initial,2428.813526,60.2668,16
20240530,T17_initial_1,17,Initial,2426.870772,59.7213,20
20240530,T17_initial_2,17,Initial,2427.846498,60.082,20
20240530,T17_initial_3,17,Initial,2432.836628,59.7528,20
20240530,T3_initial_2,3,Initial,2427.220221,59.7048,16
20240530,T3_initial_3,3,Initial,2437.891064,59.9857,16
20240530,T11_initial_1,11,Initial,2439.987767,60.0711,20
20240530,T11_initial_2,11,Initial,2439.522194,59.7926,20
20240530,T11_initial_3,11,Initial,2434.181363,59.9524,20
20240601,T6_initial_1,6,Initial,2423.025844,59.7287,16
20240601,T6_initial_2,6,Initial,2426.727774,59.9016,16
20240601,T6_initial_3,6,Initial,2430.670715,59.8965,16
20240601,T4_initial_2,4,Initial,2434.303649,59.7829,20
20240601,T4_initial_3,4,Initial,2446.959537,60.2052,20
20240601,T14_initial_1,14,Initial,2403.720782,59.979,16
20240601,T14_initial_2,14,Initial,2396.504002,59.9077,16
20240601,T10_initial_1,10,Initial,2419.703919,59.706,16
20240601,T10_initial_2,10,Initial,2400.013492,60.3065,16
20240601,T10_initial_3,10,Initial,2407.776529,59.7518,16
20240601,T9_initial_1,9,Initial,2423.594788,60.0797,20
20240601,T9_initial_2,9,Initial,2432.486423,60.0329,20
20240601,T9_initial_3,9,Initial,2430.857801,60.1714,20
20240604,T2_initial_1,2,Initial,2436.009982,59.9534,20
20240604,T2_initial_2,2,Initial,2438.143166,60.0622,20
20240604,T2_initial_3,2,Initial,2431.390753,60.4248,20
20240521,1,12,,2415.697793,59.889,16
20240521,60,12,,2418.514083,59.8881,16
20240521,75,12,,2431.942891,60.0747,16
20240528,56,1,,2441.606049,60.2726,20
20240528,64,1,,2455.67215,59.9341,20
20240528,69,1,,2452.555372,59.9824,20
20240528,3,13,,2423.066555,59.9633,20
20240528,15,13,,2411.991425,60.1519,20
20240528,59,13,,2409.548232,60.4729,20
20240528,8,18,,2422.516571,59.8124,16
20240528,11,18,,2424.638169,59.8375,16
20240528,37,18,,2420.5584,59.9561,16
,,,,,,
,,,,,,
20240530,23,5,,2425.494968,59.8528,
20240530,34,5,,2425.537711,60.3035,
20240530,68,5,,2429.292334,60.0579,
20240530,5,19,,2417.100472,60.2071,
20240530,17,19,,2423.45982,60.458,
20240530,18,19,,2377.791092,60.4314,
,,,,,,
20240530,13,8,,2431.95265,60.4602,
20240530,25,8,,2430.005398,59.9668,
20240530,43,8,,2431.05518,59.8683,
20240530,9,15,,2432.143493,59.819,
20240530,32,15,,2431.716035,59.9905,
20240530,74,15,,2436.517917,59.8274,
20240530,6,7,,2343.351614,59.7281,
20240530,14,7,,2431.926506,59.9759,
20240530,42,7,,2438.788101,60.0533,
20240530,22,17,,2425.583527,59.9262,
20240530,35,17,,2435.736967,59.8421,
20240530,77,17,,2424.268816,59.7546,
20240530,2,3,,2419.336037,60.3754,
20240530,61,3,,2361.657209,59.8478,
20240530,71,3,,2340.473534,60.2279,
,,,,,,
20240530,40,11,,2423.844934,59.9054,
20240530,48,11,,2431.094756,59.8747,
20240530,55,11,,2427.363622,60.1817,
,,,,,,
20240601,30,6,,2436.301705,60.3763,
20240601,73,6,,2376.844467,60.2661,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
20240601,7,6,,2435.407103,60.3693,
,,,,,,
20240601,19,4,,2442.113525,59.6184,
20240601,20,4,,2441.572605,60.1459,
20240601,62,4,,2421.60583,60.2944,
,,,,,,
20240601,10,14,,2429.142698,59.66,
20240601,66,14,,2436.548888,60.3507,
20240601,72,14,,2433.154954,59.5746,
20240601,28,10,,2431.741171,59.8117,
20240601,47,10,,2422.375474,59.9785,
20240601,51,10,,2431.675556,59.7705,
20240601,44,9,,2430.657002,59.7354,
20240601,53,9,,2425.159056,60.3196,
20240601,63,9,,2432.787197,59.6752,
