transect,meter,shell_length,shell_width
2,1,12.5,18.1
2,1,11.1,15.5
2,1,12,15.8
2,2,13.3,14.6
2,2,11.8,16.6
2,3,10.1,15.2
2,5,12,17.3
2,5,13,14.4
2,6,7.1,12.9
2,6,8.8,12.4
2,6,13.8,16.5
2,6,10.1,14.7
2,6,12,16.1
2,7,12.1,16.7
2,7,14.5,15.1
2,8,12.3,17
2,8,12.6,16.3
2,9,10.2,13.2
2,9,10.7,15.3
2,9,11.1,16.8
2,9,9.5,15.2
2,9,11.4,15.9
2,9,13.3,18.6
2,9,10,15.2
2,9,9.5,15.1
2,9,12.5,16.4
2,9,10.1,16
2,9,10.5,15.6
2,9,11.1,15.9
2,9,9.1,14.5
2,10,11.6,16.1
2,10,12.9,15.5
2,10,10.7,14.7
2,13,6.7,9.1
2,13,11.5,16.7
2,13,9.9,16.5
2,13,12.6,17.4
2,16,10.1,17.4
2,17,12.4,15.6
2,19,11.4,15.6
2,19,12,16.7
2,20,13.4,17.9
2,20,10.1,16.7
2,21,11.1,18.1
2,21,13.1,17.5
2,21,12.4,16.8
2,22,13.2,18.6
2,22,10,14.7
2,22,13.9,16.8
2,22,12.9,18.4
2,22,13,17.9
2,22,14.9,19.3
2,22,16.5,18.4
2,22,9.5,12.7
2,28,9,12.8
3,1,12.7,15.1
3,2,15.9,16.3
3,2,12.7,12.8
3,4,15,17
3,4,15,14.6
3,4,15,18
3,4,15.2,18
3,4,12.3,15.4
3,4,15.3,16.6
3,4,10.5,13.5
3,4,14.5,14.1
3,5,16.1,17.1
3,8,12.4,14.1
3,8,14.8,15.3
3,9,16.3,15.5
3,9,14.9,17.5
3,9,13.9,17.2
3,9,11.3,14.6
3,11,16,17
3,14,10.7,13.9
3,15,11.3,14.1
3,16,14.1,14.8
3,18,12.9,12.1
3,21,16.9,18.1
