snail_ID,snail_colors,blotted_wet_weight_g,shell_length_mm,shell_width_mm,tank,pH,temp,rep,shell_length2,shell_width2,final_wet_weight,final_dry_weight,dry_shell
32,pink-dark green-pink,1.3578,12.97,14.78,0,,,,,,,,
30,pink-dark green-light green-pink,1.3683,13.34,14.8,0,,,,,,,,
33,pink-dark green-pink-dark green,1.3974,13.21,15,0,,,,,,,,
42,pink-light green-dark green-light green,1.5982,14.09,15.58,1,7.4,16,,14.01,15.77,1.597,0.0381,1.2793
26,light green-red-pink,1.6441,13.38,15.31,1,7.4,16,,13.99,15.7,1.6391,0.0348,1.3423
41,pink-light green-dark green,2.0271,14.85,15.93,1,7.4,16,,15.02,16.58,2.0196,0.0439,1.6415
64,pink-red-pink-light green,1.7332,14.79,16.09,2,7.5,16,,14.88,16.69,1.7639,0.0461,1.368
60,pink-red-light green-pink,1.6115,13.92,15.43,2,7.5,16,,14.26,15.57,1.662,0.0375,1.3023
51,pink-light green-red-light green,1.4521,13.63,15.01,2,7.5,16,,13.47,15.07,1.5368,0.0378,1.2118
52,pink-light green-red-pink,1.5906,14.27,15.09,3,7.2,20,,14.13,15.11,1.5622,0.0357,1.257
59,pink-red-light green-dark green,2.0104,14.85,16.75,3,7.2,20,,14.14,17.2,1.9869,0.0365,1.6144
49,pink-light green-red,1.6703,14.8,15.53,3,7.2,20,,14.27,15.6,1.6642,0.0421,1.3362
2,dark green-light green,2.0229,14.38,16.14,4,7.6,20,,14.89,16.94,2.0481,0.0981,1.601
69,red-dark green-pink,1.588,13.08,16.6,4,7.6,20,,12.73,16.78,1.6056,0.0429,1.2796
23,light green-red,1.6294,13.81,15.9,4,7.6,20,,14.13,16.6,1.6157,0.0331,1.2711
37,pink-dark green-red-dark green,1.6069,13.66,15.12,5,7.3,16,,12.95,15.33,1.5959,0.0362,1.2873
19,light green-pink,1.7985,14.61,16.27,5,7.3,16,,14.4,16.8,1.7874,0.0362,1.3936
21,light green-pink-light green,1.4352,13.66,14.78,5,7.3,16,,13.01,14.77,1.4185,0.0319,1.1476
25,light green-red-light green,1.8283,14.96,16.24,6,7.7,16,,14.52,16.79,1.8409,0.0437,1.4456
45,pink-light green-pink,1.5422,13.95,14.9,6,7.7,16,,13.75,15.1,1.5736,0.0356,1.3006
5,dark green-light green-red,1.5453,13.79,15.34,6,7.7,16,,,,,,
54,pink-red-dark green,1.8871,15.61,16.32,7,7.9,20,,15.05,16.95,1.9161,0.0406,1.5016
53,pink-red,1.5336,13.87,15.32,7,7.9,20,,13.72,15.22,1.5918,0.0376,1.2843
58,pink-red-light green,1.6742,14.52,15.52,7,7.9,20,,14.4,15.7,1.7421,0.0371,1.4256
43,pink-light green-dark green-pink,2.0602,15.15,16.9,8,7.8,20,,14.82,17.27,2.051,0.0422,1.6816
4,dark green-light green-pink,1.7344,14.32,15.59,8,7.8,20,,14.34,15.65,1.7949,0.0353,1.4407
20,light green-pink-dark green,1.4392,13.75,15.13,8,7.8,20,,13.57,15.33,1.4608,0.0338,1.1488
55,pink-red-dark green-light green,1.5955,14.45,15.69,9,7.5,20,,14.33,16.32,1.6644,0.0446,1.3285
29,pink-dark green-light green,1.9198,14.61,16.72,9,7.5,20,,14.37,17.04,1.9345,0.0405,1.5451
3,dark green-light green-dark green,1.7093,13.77,15.53,9,7.5,20,,13.66,15.78,1.7372,0.0345,1.4365
48,pink-light green-pink-red,1.5471,13.97,15.8,10,7.4,20,,14,16.42,1.5795,0.036,1.1986
1,dark green,1.6656,13.93,16.13,10,7.4,20,,14.05,16.63,1.7065,0.0438,1.3404
65,pink-red-pink-red,1.9932,15.43,16.32,10,7.4,20,,14.56,16.64,2.0211,0.049,1.599
24,light green-red-dark green,2.0103,14.81,15.62,11,7.2,16,,14.54,16.18,1.9589,0.0464,1.608
22,light green-pink-red,1.8366,14.19,15.85,11,7.2,16,,13.87,16.43,1.7721,0.039,1.4654
9,dark green-pink-red,1.548,13.56,15.03,11,7.2,16,,13.46,14.91,1.5073,0.0292,1.244
14,light green,1.7066,14.57,15.43,12,7.7,20,,14.13,15.82,1.7474,0.0356,1.3729
11,dark green-red-dark green,1.7489,14.68,15.64,12,7.7,20,,14.65,16.35,1.7705,0.0386,1.4248
28,pink-dark green,1.4191,13.73,15.16,12,7.7,20,,13.41,15.15,1.4999,0.0344,1.2209
56,pink-red-dark green-pink,1.4974,13.73,14.96,13,7.9,16,,13.51,15.18,1.5327,0.035,1.2507
68,red-dark green-light green,1.9402,15.27,16.42,13,7.9,16,,14.56,16.82,1.9683,0.038,1.5769
40,pink-light green,1.808,13.05,15.99,13,7.9,16,,12.8,15.4,1.8225,0.0389,1.4998
17,light green-dark green-pink,1.4052,13.36,14.9,14,8,20,,13.42,14.92,1.4391,0.0313,1.1725
50,pink-light green-red-dark green,1.7484,14.53,15.93,14,8,20,,14.76,16.27,1.7413,0.033,1.4222
63,pink-red-pink-dark green,1.9747,15.36,16.28,14,8,20,,14.1,16.78,2.0212,0.0347,1.6078
35,pink-dark green-pink-red,1.739,14.25,15.36,15,7.3,20,,13.73,15.75,1.7411,0.0311,1.4084
13,dark green-red-pink,1.8144,15.07,16.32,15,7.3,20,,14.61,16.63,1.8433,0.0392,1.4505
66,red,1.4933,13.77,15.15,15,7.3,20,,13.86,15.18,1.5213,0.0369,1.236
34,pink-dark green-pink-light green,1.6919,14.37,15.34,17,8,16,,14.19,15.79,1.7216,0.0331,1.4096
44,pink-light green-dark green-red,2.0688,15.39,17.01,17,8,16,,14.65,17.33,2.1325,0.051,1.6951
15,light green-dark green,1.5497,13.31,14.78,17,8,16,,13.14,15.08,1.5689,0.0337,1.283
38,pink-dark green-red-light green,1.753,14.24,15.9,18,7.8,16,,14.1,16.49,1.7484,0.0389,1.4031
36,pink-dark green-red,1.66,13.72,15.46,18,7.8,16,,13.88,15.74,1.6789,0.0348,1.349
31,pink-dark green-light green-red,1.6343,13.59,15.39,18,7.8,16,,13.89,15.54,1.6406,0.0326,1.3482
16,light green-dark green-light green,1.501,13.82,15.45,19,7.6,16,,,,,,
67,red-dark green,2.0821,15.47,16.35,19,7.6,16,,14.46,16.97,2.306,0.0424,1.909
57,pink-red-dark green-red,1.8523,15.25,16.21,19,7.6,16,,14.45,16.9,1.874,0.0516,1.4846
39,pink-dark green-red-pink,1.9469,14.72,16.04,-1,,,,,,,,
61,pink-red-light green-red,1.9635,15.63,16.37,0,,,,,,,,
62,pink-red-pink,1.8961,14.45,16.08,-1,,,,,,,,
12,dark green-red-light green,1.7339,14.31,15.73,-1,,,,,,,,
6,dark green-pink,2.1074,14.64,16.67,0,,,,,,,,
27,pink,2.1955,15.74,16.87,0,,,,,,,,
10,dark green-red,2.291,14.94,16.69,0,,,,,,,,
18,light green-dark green-red,2.3267,15.54,17.16,0,,,,,,,,
7,dark green-pink-dark green,2.3731,16.37,16.92,0,,,,,,,,
46,pink-light green-pink-dark green,2.3866,15.41,17.58,0,,,,,,,,
8,dark green-pink-light green,2.4116,16.48,17.13,0,,,,,,,,
47,pink-light green-pink-light green,2.4623,15.6,17.64,0,,,,,,,,
