rockweed_id,weight,tank,predator,pH,temperature
1,0.0376,1,p,7.2,20
2,0.1696,1,c,7.2,20
3,0.2642,1,p,7.2,20
4,0.154,1,c,7.2,20
5,0.3183,1,p,7.2,20
6,-0.0198,1,c,7.2,20
7,0.0297,2,p,7.4,20
8,0.237,2,c,7.4,20
9,0.2263,2,p,7.4,20
10,0.1215,2,c,7.4,20
11,0.1693,2,p,7.4,20
12,0.3471,2,c,7.4,20
13,0.0156,3,p,7.7,16
14,0.1353,3,c,7.7,16
15,0.1518,3,p,7.7,16
16,0.0724,3,c,7.7,16
17,0.0713,3,p,7.7,16
18,0.3097,3,c,7.7,16
19,0.2126,4,c,7.3,20
20,0.1245,4,p,7.3,20
21,0.2037,4,c,7.3,20
22,0.2964,4,p,7.3,20
23,0.2533,4,c,7.3,20
24,0.0707,4,p,7.3,20
25,0.034,5,p,7.5,20
26,0.0922,5,p,7.5,20
27,0.1684,5,c,7.5,20
28,0.2079,5,c,7.5,20
29,0.1385,5,p,7.5,20
30,0.1725,5,c,7.5,20
31,0.2461,6,p,7.3,16
32,0.0875,6,c,7.3,16
33,0.138,6,p,7.3,16
34,0.1505,6,c,7.3,16
35,0.1203,6,p,7.3,16
36,0.1911,6,c,7.3,16
37,0.2359,7,p,7.6,16
38,0.1954,7,c,7.6,16
39,0.0905,7,p,7.6,16
40,0.1517,7,c,7.6,16
41,0.0947,7,c,7.6,16
42,0.0123,7,p,7.6,16
43,0.0798,8,p,7.4,16
44,0.1929,8,c,7.4,16
45,0.0568,8,p,7.4,16
46,0.194,8,c,7.4,16
47,0.2225,8,p,7.4,16
48,0.0677,8,c,7.4,16
49,0.142,9,c,7.7,20
50,0.0195,9,p,7.7,20
51,0.0054,9,c,7.7,20
52,0.104,9,p,7.7,20
53,0.2369,9,c,7.7,20
54,0.1205,9,p,7.7,20
55,0.8008,10,p,7.5,16
56,0.6684,10,c,7.5,16
57,0.3323,10,p,7.5,16
58,0.4254,10,c,7.5,16
59,0.4443,10,p,7.5,16
60,0.4107,10,c,7.5,16
61,0.4516,11,c,7.6,20
62,0.5879,11,p,7.6,20
63,0.7537,11,p,7.6,20
64,0.7243,11,p,7.6,20
65,1.1353,11,c,7.6,20
66,1.037,11,c,7.6,20
67,0.1941,12,c,7.2,16
68,0.2923,12,p,7.2,16
69,-0.0065,12,c,7.2,16
70,0.2057,12,p,7.2,16
71,0.3616,12,c,7.2,16
72,0.1426,12,p,7.2,16
73,-0.0349,13,p,8,20
74,-0.0559,13,c,8,20
75,0.2867,13,c,8,20
76,0.1089,13,c,8,20
77,-0.3382,13,p,8,20
78,-0.3388,13,p,8,20
79,0.13009,14,c,7.8,16
80,0.214,14,p,7.8,16
81,-0.2688,14,c,7.8,16
82,0.1615,14,p,7.8,16
83,0.2542,14,c,7.8,16
84,-0.5417,14,p,7.8,16
85,0.0568,15,p,7.9,16
86,0.2488,15,p,7.9,16
87,0.2049,15,p,7.9,16
88,0.2013,15,c,7.9,16
89,0.2737,15,c,7.9,16
90,0.3949,15,c,7.9,16
91,0.0459,17,p,7.8,20
92,-0.1441,17,c,7.8,20
93,-0.0593,17,p,7.8,20
94,0.5097,17,c,7.8,20
95,0.2676,17,p,7.8,20
96,0.2658,17,c,7.8,20
97,0.032,18,p,8,16
98,-0.1592,18,p,8,16
99,0.1982,18,c,8,16
100,0.0906,18,c,8,16
101,0.2704,18,c,8,16
102,-0.0279,18,p,8,16
103,0.3856,19,p,7.9,20
104,0.15,19,c,7.9,20
105,0.1051,19,p,7.9,20
106,0.5221,19,p,7.9,20
107,0.3504,19,c,7.9,20
108,0.2234,19,c,7.9,20
