date,TTris,mVTris
20240516,21.385,-68.1
20240516,20.5,-68.6
20240516,19.5,-69.7
20240516,18.441,-70.6
20240516,17.622,-71.2
20240516,16.597,-72.1
20240516,15.454,-73
20240520,21.339,-67.2
20240520,20.327,-69.5
20240520,19.307,-71.2
20240520,18.284,-72.8
20240520,17.283,-74.3
20240520,16.023,-76.3
20240520,15.014,-77.7
20240523,21.274,-68.8
20240523,20.212,-70.5
20240523,19.205,-72
20240523,18.245,-73.4
20240523,17.22,-75
20240523,16.199,-76.4
20240523,15.234,-77.9
20240527,21.4,-67.4
20240527,20.4,-69.4
20240527,19.3,-70.9
20240527,18.3,-72.4
20240527,17.3,-73.5
20240527,16.3,-75.2
20240527,15.3,-76.8
20240530,21.4,-68.3
20240530,20.3,-69.8
20240530,19.4,-71.1
20240530,18.4,-72.6
20240530,17.4,-74.1
20240530,16.4,-75.4
20240530,15.4,-76.9
20240603,21.5,-68.5
20240603,20.5,-70.1
20240603,19.5,-71.7
20240603,18.5,-73.1
20240603,17.4,-74.8
20240603,16.4,-76.3
20240603,15.3,-77.8
20240604,21.629,-68
20240604,20.506,-70.2
20240604,19.49,-71.7
20240604,18.475,-73.1
20240604,17.417,-74.5
20240604,16.407,-76.1
20240604,15.219,-78.1
20240606,21.489,-67
20240606,20.311,-70.1
20240606,19.477,-71.6
20240606,18.412,-73.4
20240606,17.506,-74.6
20240606,16.409,-76.6
20240606,15.355,-77.9
