"","date","ID","tank","sample_type","TA","water_mass","TA_initial","mean.blanks","pH_treatment","temp_treatment","volume","wet_weight","TA.start","TA.stop","deltaTA","timediff","umol.cm2.hr"
"1",20240521,"1",12,NA,2415.697793,59.889,2408.11167933333,4.0346903333334,7.2,16,0.1145,2.6701,2024-06-03 00:23:00,2024-06-03 01:56:00,-11.6208039999997,1.55,-0.164769304212354
"2",20240521,"60",12,NA,2418.514083,59.8881,2408.11167933333,4.0346903333334,7.2,16,0.1145,2.146,2024-06-03 00:25:00,2024-06-03 01:55:00,-14.4370939999999,1.5,-0.263183200462098
"3",20240521,"75",12,NA,2431.942891,60.0747,2408.11167933333,4.0346903333334,7.2,16,0.115,1.6288,2024-06-03 00:26:00,2024-06-03 01:51:00,-27.865902,1.41666666666667,-0.711753119925893
"4",20240528,"56",1,NA,2441.606049,60.2726,2429.844726,10.751659,7.2,20,0.115,2.1513,2024-06-03 12:30:00,2024-06-03 14:01:00,-22.5129820000002,1.51666666666667,-0.406662021366588
"5",20240528,"64",1,NA,2455.67215,59.9341,2429.844726,10.751659,7.2,20,0.115,2.6523,2024-06-03 12:32:00,2024-06-03 14:05:00,-36.5790830000001,1.55,-0.524409053204584
"6",20240528,"69",1,NA,2452.555372,59.9824,2429.844726,10.751659,7.2,20,0.115,1.6639,2024-06-03 12:33:00,2024-06-03 14:06:00,-33.462305,1.55,-0.764695691985794
"7",20240528,"3",13,NA,2423.066555,59.9633,2429.74500666667,-0.846056333333308,8,20,0.115,2.3898,2024-06-03 16:00:00,2024-06-03 17:27:00,7.52450799999997,1.45,0.127979455862703
"8",20240528,"15",13,NA,2411.991425,60.1519,2429.74500666667,-0.846056333333308,8,20,0.115,1.7951,2024-06-03 16:02:00,2024-06-03 17:30:00,18.5996379999997,1.46666666666667,0.416366838752329
"9",20240528,"59",13,NA,2409.548232,60.4729,2429.74500666667,-0.846056333333308,8,20,0.115,2.2136,2024-06-03 16:05:00,2024-06-03 17:31:00,21.0428309999998,1.43333333333333,0.390885472910323
"10",20240528,"8",18,NA,2422.516571,59.8124,2405.076405,-1.20216800000026,8,16,0.12,2.1306,2024-06-03 06:37:00,2024-06-03 08:30:00,-16.2379980000001,1.88333333333333,-0.248873401484813
"11",20240528,"11",18,NA,2424.638169,59.8375,2405.076405,-1.20216800000026,8,16,0.1205,2.1805,2024-06-03 06:38:00,2024-06-03 08:35:00,-18.3595959999998,1.95,-0.266657212348376
"12",20240528,"37",18,NA,2420.5584,59.9561,2405.076405,-1.20216800000026,8,16,0.121,2.022,2024-06-03 06:35:00,2024-06-03 08:39:00,-14.2798269999998,2.06666666666667,-0.211909584530844
"13",20240530,"23",5,NA,2425.494968,59.8528,2422.492518,-3.67954000000009,7.5,20,0.115,2.5027,2024-06-03 16:10:00,2024-06-03 17:35:00,0.677090000000135,1.41666666666667,0.0112554183246822
"14",20240530,"34",5,NA,2425.537711,60.3035,2422.492518,-3.67954000000009,7.5,20,0.115,2.0595,2024-06-03 16:12:00,2024-06-03 17:29:00,0.634347000000162,1.28333333333333,0.0141454682844504
"15",20240530,"68",5,NA,2429.292334,60.0579,2422.492518,-3.67954000000009,7.5,20,0.115,2.0338,2024-06-03 16:14:00,2024-06-03 17:30:00,-3.1202760000001,1.26666666666667,-0.0713861788730997
"16",20240530,"5",19,NA,2417.100472,60.2071,2425.42003633333,41.8140433333333,7.9,20,0.115,1.8612,2024-06-03 14:19:00,2024-06-03 15:43:00,-33.494479,1.4,-0.757606788271199
"17",20240530,"17",19,NA,2423.45982,60.458,2425.42003633333,41.8140433333333,7.9,20,0.1145,2.5809,2024-06-03 14:20:00,2024-06-03 15:42:00,-39.8538269999999,1.36666666666667,-0.663033707936184
"18",20240530,"18",19,NA,2377.791092,60.4314,2425.42003633333,41.8140433333333,7.9,20,0.115,2.2872,2024-06-03 14:22:00,2024-06-03 15:40:00,5.81490100000019,1.3,0.115262103373796
"19",20240530,"13",8,NA,2431.95265,60.4602,2407.0441455,-15.7931085,7.4,16,0.1205,2.8554,2024-06-03 06:29:00,2024-06-03 08:33:00,-9.11539600000015,2.06666666666667,-0.0953935623207994
"20",20240530,"25",8,NA,2430.005398,59.9668,2407.0441455,-15.7931085,7.4,16,0.1215,1.681,2024-06-03 06:27:00,2024-06-03 08:35:00,-7.16814399999976,2.13333333333333,-0.12446591501524
"21",20240530,"43",8,NA,2431.05518,59.8683,2407.0441455,-15.7931085,7.4,16,0.121,2.3822,2024-06-03 06:28:00,2024-06-03 08:29:00,-8.21792599999981,2.01666666666667,-0.106078928931238
"22",20240530,"9",15,NA,2432.143493,59.819,2425.03847866667,-1.28979433333325,7.9,16,0.113,3.109,2024-06-03 02:00:00,2024-06-03 03:20:00,-5.81521999999995,1.33333333333333,-0.0812417002854609
"23",20240530,"32",15,NA,2431.716035,59.9905,2425.03847866667,-1.28979433333325,7.9,16,0.115,1.7413,2024-06-03 02:03:00,2024-06-03 03:21:00,-5.38776199999984,1.3,-0.14027593127813
"24",20240530,"74",15,NA,2436.517917,59.8274,2425.03847866667,-1.28979433333325,7.9,16,0.115,1.8394,2024-06-03 02:01:00,2024-06-03 03:23:00,-10.189644,1.36666666666667,-0.238897682668262
"25",20240530,"6",7,NA,2343.351614,59.7281,2422.44830866667,-2.31081133333373,7.6,16,0.115,2.4597,2024-06-03 22:35:00,2024-06-03 00:05:00,81.407506,-22.5,-0.0866944909248192
"26",20240530,"14",7,NA,2431.926506,59.9759,2422.44830866667,-2.31081133333373,7.6,16,0.115,2.062,2024-06-03 22:37:00,2024-06-03 00:07:00,-7.16738599999962,-22.5,0.00910502882584283
"27",20240530,"42",7,NA,2438.788101,60.0533,2422.44830866667,-2.31081133333373,7.6,16,0.115,1.9351,2024-06-03 22:36:00,2024-06-03 00:10:00,-14.0289809999999,-22.4333333333333,0.0190467383002079
"28",20240530,"22",17,NA,2425.583527,59.9262,2429.18463266667,-0.806010333333234,7.8,20,0.115,2.3002,2024-06-03 17:45:00,2024-06-03 19:19:00,4.40711600000031,1.56666666666667,0.0720782094572771
"29",20240530,"35",17,NA,2435.736967,59.8421,2429.18463266667,-0.806010333333234,7.8,20,0.1145,2.8157,2024-06-03 17:46:00,2024-06-03 19:21:00,-5.74632399999973,1.58333333333333,-0.075636379150362
"30",20240530,"77",17,NA,2424.268816,59.7546,2429.18463266667,-0.806010333333234,7.8,20,0.115,1.9138,2024-06-03 17:48:00,2024-06-03 19:16:00,5.7218270000003,1.46666666666667,0.120142996850335
"31",20240530,"2",3,NA,2419.336037,60.3754,2432.5556425,5.61841649999997,7.7,16,0.1145,2.5047,2024-06-03 08:43:00,2024-06-03 10:20:00,7.60118899999998,1.61666666666667,0.110155120004803
"32",20240530,"61",3,NA,2361.657209,59.8478,2432.5556425,5.61841649999997,7.7,16,0.115,1.0905,2024-06-03 08:44:00,2024-06-03 10:21:00,65.280017,1.61666666666667,2.18235709634992
"33",20240530,"71",3,NA,2340.473534,60.2279,2432.5556425,5.61841649999997,7.7,16,0.115,2.2174,2024-06-03 08:45:00,2024-06-03 10:20:00,86.4636919999998,1.58333333333333,1.45147342233436
"34",20240530,"40",11,NA,2423.844934,59.9054,2437.897108,3.11151800000016,7.6,20,0.115,1.8756,2024-06-03 19:25:00,2024-06-03 20:42:00,10.9406559999998,1.28333333333333,0.26788930420187
"35",20240530,"48",11,NA,2431.094756,59.8747,2437.897108,3.11151800000016,7.6,20,0.115,2.3639,2024-06-03 19:26:00,2024-06-03 20:45:00,3.690834,1.31666666666667,0.0698893950326669
"36",20240530,"55",11,NA,2427.363622,60.1817,2437.897108,3.11151800000016,7.6,20,0.115,2.1489,2024-06-03 19:27:00,2024-06-03 20:46:00,7.42196800000011,1.31666666666667,0.154603293295188
"37",20240601,"30",6,NA,2436.301705,60.3763,2426.013271,15.6468359999999,7.3,16,0.115,2.2574,2024-06-03 08:48:00,2024-06-03 10:23:00,-25.9352699999999,1.58333333333333,-0.427662930980214
"38",20240601,"73",6,NA,2376.844467,60.2661,2426.013271,15.6468359999999,7.3,16,0.115,2.1169,2024-06-03 08:48:00,2024-06-03 10:22:00,33.521968,1.56666666666667,0.595722867239631
"39",20240601,"7",6,NA,2435.407103,60.3693,2426.013271,15.6468359999999,7.3,16,0.115,1.9467,2024-06-03 08:47:00,2024-06-03 10:22:00,-25.0406680000001,1.58333333333333,-0.478813334387751
"40",20240601,"7",6,NA,2435.407103,60.3693,2426.013271,15.6468359999999,7.3,16,0.115,1.9467,2024-06-03 02:05:00,2024-06-03 03:25:00,-25.0406680000001,1.33333333333333,-0.568590834585454
"41",20240601,"19",4,NA,2442.113525,59.6184,2440.631593,6.0373669999999,7.3,20,0.115,2.3462,2024-06-03 14:15:00,2024-06-03 15:40:00,-7.51929900000005,1.41666666666667,-0.133332603352355
"42",20240601,"20",4,NA,2441.572605,60.1459,2440.631593,6.0373669999999,7.3,20,0.1145,2.6092,2024-06-03 14:16:00,2024-06-03 15:41:00,-6.97837899999968,1.41666666666667,-0.110784464751981
"43",20240601,"62",4,NA,2421.60583,60.2944,2440.631593,6.0373669999999,7.3,20,0.115,2.3512,2024-06-03 14:17:00,2024-06-03 15:42:00,12.9883960000002,1.41666666666667,0.229821144421876
"44",20240601,"10",14,NA,2429.142698,59.66,2408.09243733333,-17.5300156666667,7.8,16,0.115,1.7621,2024-06-03 22:40:00,2024-06-03 00:15:00,-3.52024500000016,-22.4166666666667,0.0052524631628283
"45",20240601,"66",14,NA,2436.548888,60.3507,2408.09243733333,-17.5300156666667,7.8,16,0.1145,2.1565,2024-06-03 22:44:00,2024-06-03 00:17:00,-10.9264349999999,-22.45,0.0132437823567273
"46",20240601,"72",14,NA,2433.154954,59.5746,2408.09243733333,-17.5300156666667,7.8,16,0.115,1.7517,2024-06-03 22:43:00,2024-06-03 00:08:00,-7.53250100000014,-22.5833333333333,0.0112223325327407
"47",20240601,"28",10,NA,2431.741171,59.8117,2409.16464666667,-21.9684433333332,7.5,16,0.115,2.09,2024-06-03 00:18:00,2024-06-03 01:50:00,-0.608081000000311,1.53333333333333,-0.0111833078648383
"48",20240601,"47",10,NA,2422.375474,59.9785,2409.16464666667,-21.9684433333332,7.5,16,0.115,2.5555,2024-06-03 00:17:00,2024-06-03 01:52:00,8.75761599999987,1.58333333333333,0.127564364085716
"49",20240601,"51",10,NA,2431.675556,59.7705,2409.16464666667,-21.9684433333332,7.5,16,0.115,1.8786,2024-06-03 00:20:00,2024-06-03 01:58:00,-0.542466000000331,1.63333333333333,-0.0104196969980966
"50",20240601,"44",9,NA,2430.657002,59.7354,2428.97967066667,-0.297723333333579,7.7,20,0.115,1.8191,2024-06-03 17:50:00,2024-06-03 19:17:00,-1.37960799999973,1.45,-0.0308264020290384
"51",20240601,"53",9,NA,2425.159056,60.3196,2428.97967066667,-0.297723333333579,7.7,20,0.1145,2.5698,2024-06-03 17:52:00,2024-06-03 19:20:00,4.11833800000022,1.46666666666667,0.0641195693764229
"52",20240601,"63",9,NA,2432.787197,59.6752,2428.97967066667,-0.297723333333579,7.7,20,0.115,1.6733,2024-06-03 17:54:00,2024-06-03 19:18:00,-3.50980299999992,1.4,-0.0883024196465903
